,Name,Team,ERA,FIP,WAR,Fantasy PTS
141,David Phelps,,3.8,3.84,0.1,49.0
142,Dan Otero,Indians,3.81,3.85,0.3,122.0
143,Alex Reyes,Cardinals,3.8,3.85,1.3,254.0
144,John Brebbia,Cardinals,3.83,3.85,0.4,175.0
145,Nik Turley,Pirates,3.79,3.86,0.0,23.0
146,Tanner Scott,Orioles,3.62,3.86,0.3,148.0
147,Jimmie Sherfy,Diamondbacks,3.88,3.86,0.2,130.0
148,Tony Barnette,,3.87,3.86,0.0,49.0
149,Jesse Chavez,,3.85,3.86,0.1,48.0
150,Reymin Guduan,Astros,3.69,3.87,0.2,75.0
151,Dan Winkler,Braves,3.9,3.87,0.2,137.0
152,Anthony Banda,Rays,3.69,3.87,0.0,23.0
153,Michael Feliz,Pirates,3.95,3.87,0.2,124.0
154,Jaime Schultz,Rays,3.67,3.87,0.2,77.0
155,Junior Guerra,Brewers,3.87,3.87,0.2,116.0
156,Cory Burns,Mets,3.83,3.88,0.0,23.0
157,Carl Edwards Jr.,Cubs,3.81,3.88,0.3,191.0
158,Dylan Floro,Dodgers,3.78,3.88,0.2,156.0
159,Jake Petricka,,3.85,3.88,0.1,46.0
160,Hunter Wood,Rays,3.74,3.88,0.1,88.0
161,Wilmer Font,Rays,3.83,3.88,0.5,168.0
162,Matt Bowman,Reds,3.84,3.89,0.1,56.0
163,Oliver Drake,Rays,3.75,3.89,0.0,23.0
164,Sam Freeman,Braves,3.69,3.89,0.1,113.0
165,Joe Musgrove,Pirates,4.03,3.89,2.1,332.0
166,Oliver Perez,,3.77,3.9,0.1,49.0
167,Tony Cingrani,Dodgers,3.63,3.9,0.1,137.0
168,Kenta Maeda,Dodgers,3.88,3.9,1.6,351.0
169,Jordan Hicks,Cardinals,3.73,3.9,0.2,259.0
170,Arodys Vizcaino,Braves,3.9,3.9,0.3,289.0
171,Zach Putnam,,3.88,3.9,0.0,23.0
172,Xavier Cedeno,Brewers,3.79,3.91,0.2,120.0
173,Derek Law,Giants,3.8,3.91,0.1,71.0
174,Bud Norris,,3.9,3.91,0.1,58.0
175,Jon Gray,Rockies,4.18,3.91,2.6,354.0
176,Angel Sanchez,,3.93,3.92,0.0,23.0
177,Boone Logan,,3.76,3.92,0.0,23.0
178,Cody Allen,,3.91,3.92,0.2,103.0
179,Yoan Lopez,Diamondbacks,3.91,3.92,0.2,112.0
180,Nick Burdi,Pirates,3.97,3.92,0.1,81.0
181,Miles Mikolas,Cardinals,4.02,3.92,2.7,460.0
182,Jose Quintana,Cubs,3.89,3.93,2.6,475.0
183,Cole Hamels,Cubs,3.97,3.93,2.4,432.0
184,Scott Copeland,,3.9,3.93,0.0,23.0
185,Zac Rosscup,,3.87,3.93,0.0,23.0
186,Matt Grace,Nationals,3.86,3.94,0.2,124.0
187,Cole Sulser,Indians,3.85,3.94,0.0,23.0
188,Andrew Vasquez,Twins,3.75,3.94,0.1,73.0
189,Tyler Glasnow,Rays,3.92,3.94,2.0,391.0
190,Julio Urias,Dodgers,3.72,3.94,1.0,220.0
191,Trevor Gott,Nationals,3.86,3.94,0.1,79.0
192,David Paulino,Blue Jays,4.0,3.95,0.3,165.0
193,Edgar Santana,Pirates,4.05,3.95,0.0,23.0
194,Ty Buttrey,Angels,3.7,3.95,0.4,183.0
195,Yaisel Sierra,Dodgers,3.8,3.95,0.0,23.0
196,Cionel Perez,Astros,3.81,3.96,0.2,113.0
197,Chasen Shreve,Cardinals,3.79,3.96,0.1,115.0
198,Steve Cishek,Cubs,3.92,3.96,0.1,132.0
199,Joshua James,Astros,3.96,3.96,2.2,381.0
200,Adam Kolarek,Rays,3.69,3.96,0.3,151.0
201,Steven Okert,Giants,3.76,3.96,0.0,59.0
202,Luis Castillo,Reds,3.98,3.96,2.6,435.0
203,Robert Gsellman,Mets,3.95,3.97,0.2,318.0
204,Joe Smith,Astros,3.9,3.97,0.3,129.0
205,Tyler Webb,Cardinals,3.79,3.97,0.1,73.0
206,Tayron Guerrero,Marlins,3.83,3.97,0.1,161.0
207,Sonny Gray,Yankees,3.95,3.97,0.6,86.0
208,Zach McAllister,,4.04,3.97,0.0,23.0
209,Colten Brewer,Red Sox,3.93,3.97,0.1,46.0
210,Mike Mayers,Cardinals,3.9,3.97,0.1,81.0
211,Justin Miller,Nationals,4.01,3.97,0.2,178.0
212,John Axford,,3.92,3.97,0.0,42.0
213,Kyle Keller,Marlins,3.82,3.97,0.0,40.0
214,Joey Krehbiel,Diamondbacks,4.0,3.97,0.1,43.0
215,Kevin Ginkel,Diamondbacks,4.04,3.97,0.0,23.0
216,David Price,Red Sox,3.93,3.97,3.1,504.0
217,Andrew Suarez,Giants,3.85,3.97,1.6,374.0
218,Brad Ziegler,Diamondbacks,3.99,3.98,0.0,23.0
219,Mike Foltynewicz,Braves,4.0,3.98,2.7,493.0
220,Dakota Hudson,Cardinals,3.92,3.98,0.3,204.0
221,Chris Martin,Rangers,4.05,3.98,0.5,142.0
222,Trevor May,Twins,3.99,3.98,0.4,315.0
223,Jonny Venters,Braves,3.8,3.98,0.1,153.0
224,Joe Jimenez,Tigers,3.97,3.98,0.4,149.0
225,Daniel Coulombe,,3.84,3.98,0.0,23.0
226,Masahiro Tanaka,Yankees,3.94,3.98,2.7,400.0
227,Nick Pivetta,Phillies,4.04,3.98,2.4,421.0
228,Joel Payamps,Diamondbacks,4.03,3.98,0.0,42.0
229,Daniel Zamora,Mets,3.83,3.99,0.1,134.0
230,Blake Parker,Angels,3.87,3.99,0.3,231.0
231,Josh Ravin,,3.9,3.99,0.0,23.0
232,Blake Wood,,3.94,3.99,0.0,43.0
233,Mike Montgomery,Cubs,3.9,3.99,0.3,161.0
234,Ryan Brasier,Red Sox,3.93,3.99,0.3,345.0
235,Tyler Kinley,Marlins,3.81,3.99,0.2,124.0
236,Dakota Bacus,Nationals,3.89,3.99,0.0,23.0
237,Sammy Solis,Nationals,3.81,4.0,0.2,111.0
238,Anthony Bass,,4.0,4.0,0.0,23.0
239,Michael Tonkin,,3.99,4.0,0.0,23.0
240,Mike Kickham,,3.92,4.0,0.0,23.0
241,Madison Bumgarner,Giants,3.92,4.0,2.1,483.0
242,Eric Yardley,Padres,3.95,4.0,0.0,23.0
243,Erik Cordier,,3.98,4.0,0.0,23.0
244,Michael Pineda,Twins,4.11,4.0,2.2,334.0
245,D.J. Johnson,Rockies,4.13,4.01,0.2,66.0
246,Deolis Guerra,,3.98,4.01,0.0,23.0
247,Tyler Rogers,Giants,3.77,4.01,0.0,23.0
248,Seth Elledge,Cardinals,3.9,4.01,0.0,23.0
249,Kyle Hendricks,Cubs,4.04,4.01,2.6,448.0
250,Tyler Stevens,Marlins,3.9,4.01,0.0,23.0
251,Austin Voth,Nationals,3.95,4.01,0.1,97.0
252,Steven Matz,Mets,4.08,4.01,1.9,388.0
253,Patrick Ruotolo,Giants,3.83,4.01,0.0,23.0
254,Heath Hembree,Red Sox,4.04,4.02,0.2,160.0
255,Trevor Hildenberger,Twins,4.05,4.02,0.3,149.0
256,Tim Hill,Royals,3.85,4.02,0.2,136.0
257,Pedro Baez,Dodgers,3.9,4.02,0.3,191.0
258,Tommy Eveld,Marlins,3.89,4.02,0.0,23.0
259,Dominic Leone,Cardinals,3.95,4.02,0.1,118.0
260,Tyler Duffey,Twins,4.06,4.02,0.1,80.0
261,Erick Fedde,Nationals,4.04,4.02,1.5,294.0
262,Zach Duke,,3.82,4.03,0.0,46.0
263,Marcus Stroman,Blue Jays,4.14,4.03,2.7,400.0
264,Joe Broussard,Dodgers,3.9,4.03,0.0,23.0
