Name,Tm,Pos,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,Bats,Thr,Signed,Signed From,Video
"Evan Steele","KCR","LHP",0,22,"","40",2020,"Med","22.0","6' 5""","210","R","L","2017 Draft Rnd 2 (KCR)","Chipola JC (FL)",""
"Brigham Hill","WSN","RHP",0,15,"","40",2020,"Med","23.3","6' 0""","185","R","R","2017 Draft Rnd 5 (WAS)","Texas A&M",""
"Daniel Tillo","KCR","LHP",0,23,"","40",2021,"Med","22.4","6' 5""","215","L","L","2017 Draft Rnd 3 (KCR)","Iowa Western JC",""
"Jose Marmolejos","WSN","1B",0,16,"","40",2018,"Low","25.9","6' 1""","190","L","L","2010 J2 (WAS)","Dominican Republic",""
"Jonathan Bowlan","KCR","RHP",0,24,"","40",2021,"Med","21.9","6' 6""","262","R","R","2018 Draft Rnd 2 (KCR)","Memphis",""
"Osvaldo Abreu","WSN","3B",0,17,"","40",2019,"Low","24.4","6' 0""","170","R","R","2011 J2 (WAS)","Dominican Republic",""
"Carlos Hernandez","KCR","RHP",0,25,"","40",2022,"Med","21.7","6' 4""","175","R","R","2016 J2 (KCR)","Venezuela",""
"Zach Haake","KCR","RHP",0,26,"","40",2021,"High","22.1","6' 4""","215","L","R","2018 Draft Rnd 6 (KCR)","Kentucky",""
"Marcus Wilson","ARI","CF",0,9,"","40",2020,"Med","22.3","6' 3""","175","R","R","2014 Draft Rnd 2 (ARI)","JSerra HS (CA)",""
"Matt Tabor","ARI","RHP",0,10,"","40",2022,"High","20.3","6' 2""","180","R","R","2017 Draft Rnd 3 (ARI)","Milton Academy HS (MA)","QB3atZnxtDE"
"Taylor Widener","ARI","RHP",0,11,"","40",2019,"High","24.0","6' 0""","195","R","R","2016 Draft Rnd 12 (NYY)","South Carolina",""
"Taylor Clarke","ARI","RHP",0,12,"","40",2018,"Low","25.5","6' 4""","200","R","R","2015 Draft Rnd 3 (ARI)","Charleston",""
"Domingo Leyba","ARI","2B",0,13,"","40",2019,"High","23.2","5' 9""","160","S","R","2012 J2 (DET)","Dominican Republic","OYwgNhVUC4w"
"Carlos Cortes","NYM","LF",0,13,"","40",2021,"Low","21.4","5' 8""","200","L","S","2018 Draft Rnd 3 (NYM)","South Carolina","Pz1pO6aLZwU"
"Alvin Guzman","ARI","CF",0,14,"","40",2024,"High","17.1","6' 1""","165","R","R","2018 J2 (ARI)","Dominican Republic","TJIq3ct8HFM"
"Simeon Woods Richardson","NYM","RHP",0,14,"","40",2022,"High","18.1","6' 3""","210","R","R","2018 Draft Rnd 2 (NYM)","Kempner HS",""
"Blaze Alexander","ARI","SS",0,15,"","40",2022,"High","19.4","6' 1""","175","R","R","2018 Draft Rnd 11 (ARI)","IMG Academy HS (FL)",""
"Tony Dibrell","NYM","RHP",0,15,"&uarr;","40",2020,"Med","23.0","6' 3""","190","R","R","2017 Draft Rnd 4 (NYM)","Kennesaw State",""
"Eduardo Diaz","ARI","CF",0,16,"","40",2022,"Med","21.3","6' 2""","175","R","R","2015 J2 (ARI)","Dominican Republic",""
"Adrian Hernandez","NYM","RF",0,16,"","40",2022,"High","17.8","5' 9""","210","R","R","2017 J2 (NYM)","Dominican Republic",""
"Yoan Lopez","ARI","RHP",0,17,"","40",2018,"Med","25.9","6' 3""","185","R","R","2014 J2 (ARI)","Cuba",""
"Christian James","NYM","RHP",0,17,"&uarr;","40",2021,"Med","20.5","6' 3""","210","R","R","2016 Draft Rnd 14 (NYM)","East Lake HS (FL)",""
"Joey Krehbiel","ARI","RHP",0,18,"","40",2018,"Low","25.9","6' 2""","185","R","R","2011 Draft Rnd 12 (LAA)","Seminole HS (FL)",""
"Will Toffey","NYM","3B",0,18,"&uarr;","40",2020,"Low","23.9","6' 2""","205","L","R","2017 Draft Rnd 4 (OAK)","Vanderbilt",""
"Jared Miller","ARI","LHP",0,19,"","40",2018,"Low","25.2","6' 7""","240","L","L","2014 Draft Rnd 11 (ARI)","Vanderbilt",""
"Bobby Wahl","NYM","RHP",0,19,"","40",2019,"Med","26.6","6' 2""","210","R","R","2013 Draft Rnd 5 (OAK)","Ole Miss",""
"Jimmie Sherfy","ARI","RHP",0,20,"","40",2018,"Low","26.9","6' 0""","175","R","R","2013 Draft Rnd 10 (ARI)","Oregon",""
"Tyler Frank","TBR","2B",0,24,"","40",2021,"Low","21.8","6' 0""","185","R","R","2018 Draft Rnd 2 (TBR)","Florida Atlantic",""
"Gerson Bautista","NYM","RHP",0,20,"","40",2019,"Low","23.4","6' 2""","170","R","R","2012 J2 (BOS)","Dominican Republic","I1w4-Q8fjiY"
"Andy Yerzy","ARI","C",0,21,"","40",2022,"High","20.4","6' 3""","215","L","R","2016 Draft Rnd 2 (ARI)","York Mills Institute (Ontario)",""
"Alejandro Pie","TBR","SS",0,25,"","40",2024,"High","16.4","6' 4""","175","R","R","2018 J2 (TBR)","Dominican Republic","pROw9MwMoSw"
"Gavin Cecchini","NYM","2B",0,21,"","40",2018,"Low","24.9","6' 2""","196","R","R","2012 Draft Rnd 1 (NYM)","Barbe HS (LA)",""
"Jamie Westbrook","ARI","LF",0,22,"&uarr;","40",2019,"Med","23.4","5' 9""","170","R","R","2013 Draft Rnd 5 (ARI)","Basha HS (AZ)",""
"Michael Mercado","TBR","RHP",0,26,"","40",2022,"High","19.6","6' 4""","160","R","R","2017 Draft Rnd 2 (TBR)","Westview HS (CA)",""
"Jamie Callahan","NYM","RHP",0,22,"","40",2018,"Low","24.2","6' 2""","230","R","R","2012 Draft Rnd 2 (BOS)","Dillon HS (SC)",""
"Matt Mercer","ARI","RHP",0,23,"","40",2022,"High","22.2","6' 1""","185","R","R","2018 Draft Rnd 5 (ARI)","Oregon",""
"Austin Franklin","TBR","RHP",0,27,"","40",2021,"High","21.1","6' 3""","215","R","R","2016 Draft Rnd 3 (TBR)","Paxton HS (FL)",""
"Ryley Gilliam","NYM","RHP",0,23,"","40",2020,"Med","22.3","5' 10""","170","R","R","2018 Draft Rnd 5 (NYM)","Clemson",""
"Emilio Vargas","ARI","RHP",0,24,"&uarr;","40",2020,"High","22.2","6' 3""","200","R","R","2014 J2 (ARI)","Dominican Republic",""
"Michael Perez","TBR","C",0,28,"","40",2019,"Low","26.3","5' 11""","180","R","R","2011 Draft Rnd 5 (ARI)","Colegio Vocacional Para Adultos (PR)",""
"Michael Hermosillo","LAA","RF",0,14,"","40",2018,"Low","23.8","5' 10""","190","R","R","2013 Draft Rnd 28 (LAA)","Ottawa HS (IL)","D0OSPvncrZs"
"Adam Hill","NYM","RHP",0,24,"","40",2021,"Med","21.6","6' 5""","215","R","R","2018 Draft Rnd 4 (NYM)","South Carolina","UuB2qG_7BI"
"Nick Ciuffo","TBR","C",0,29,"","40",2020,"Med","23.7","6' 1""","205","R","R","2013 Draft Rnd 1 (TBR)","Lexington HS (SC)","-KELTvpMYp4"
"Taylor Ward","LAA","C",0,15,"&uarr;","40",2019,"Med","23.9","6' 1""","185","R","R","2015 Draft Rnd 1 (LAA)","Fresno State",""
"Jermaine Palacios","TBR","SS",0,30,"","40",2020,"Med","22.3","6' 0""","145","R","R","2013 J2 (MIN)","Venezuela",""
"Leonardo Rivas","LAA","2B",0,16,"","40",2020,"Med","21.1","5' 10""","150","S","R","2014 J2 (LAA)","Venezuela","Tbf-2kCq_yI"
"Taylor Walls","TBR","SS",0,31,"&uarr;","40",2020,"Med","22.3","5' 10""","180","S","R","2017 Draft Rnd 3 (TBR)","Florida State",""
"Aaron Hernandez","LAA","RHP",0,17,"","40",2021,"High","21.9","6' 2""","175","R","R","2018 Draft Rnd 3 (LAA)","Texas A&M Corpus Christi",""
"Moises Gomez","TBR","RF",0,32,"&uarr;","40",2022,"High","20.2","5' 11""","200","R","R","2015 J2 (TBR)","Venezuela",""
"Ty Buttrey","LAA","RHP",0,18,"","40",2018,"Med","25.6","6' 6""","230","R","R","2012 Draft Rnd 4 (BOS)","Providence HS (NC)",""
"Chih-Wei Hu","TBR","RHP",0,33,"","40",2018,"Med","25.0","6' 0""","230","R","R","2011 J2 (MIN)","Taiwan","CnQuWadDzvs"
"Patrick Sandoval","LAA","LHP",0,19,"","40",2021,"Med","22.1","6' 3""","190","L","L","2015 Draft Rnd 11 (HOU)","Mission Viejo HS (CA)",""
"Curtis Taylor","TBR","RHP",0,34,"","40",2021,"Med","23.3","6' 6""","215","R","R","2016 Draft Rnd 4 (ARZ)","University of British Columbia",""
"Luis Pena","LAA","RHP",0,20,"","40",2019,"High","23.2","5' 11""","190","R","R","2013 J2 (LAA)","Dominican Republic",""
"Orlando Romero","TBR","RHP",0,35,"","40",2022,"Med","22.1","6' 0""","211","R","R","2013 J2 (TBR)","Venezuela",""
"William English","LAA","RHP",0,21,"","40",2023,"High","17.9","6' 3""","185","R","R","2018 Draft Rnd 5 (LAA)","Detroit Western Int'l HS (MI)",""
"Jaime Schultz","TBR","RHP",0,36,"","40",2018,"Low","27.4","5' 10""","200","R","R","2013 Draft Rnd 14 (TBR)","High Point",""
"Jake Jewell","LAA","RHP",0,22,"","40",2018,"High","25.5","6' 3""","200","R","R","2014 Draft Rnd 5 (LAA)","Northeast Oklahoma JC","iYmGPWVSi1c"
"Sandy Gaston","TBR","RHP",0,37,"","40",2023,"High","16.9","6' 0""","190","R","R","2018 J2 (TBR)","Cuba","PB7HrCsfEUU"
"Ian Gibaut","TBR","RHP",0,38,"","40",2019,"Med","25.0","6' 3""","250","R","R","2015 Draft Rnd 11 (TBR)","Tulane",""
"Brock Burke","TBR","LHP",0,39,"&uarr;","40",2020,"High","22.3","6' 4""","200","L","L","2014 Draft Rnd 3 (TBR)","Evergreen HS (CO)",""
"Braden Bishop","SEA","CF",0,7,"","40",2019,"Med","25.2","6' 1""","190","R","R","2015 Draft Rnd 3 (SEA)","Washington",""
"Juan Querecuto","SEA","SS",0,8,"&uarr;","40",2022,"High","18.1","6' 2""","175","R","R","2017 J2 (SEA)","Venezuela",""
"Cal Raleigh","SEA","C",0,9,"","40",2021,"Med","22.0","6' 3""","225","R","R","2018 Draft Rnd 3 (SEA)","Florida State",""
"Jonathan Guzman","PHI","SS",0,16,"&uarr;","40",2022,"High","19.0","6' 0""","156","R","R","2015 J2 (PHI)","Dominican Republic",""
"Max Povse","SEA","RHP",0,10,"","40",2018,"Low","25.2","6' 8""","190","R","R","2014 Draft Rnd 3 (ATL)","UNC Greensboro",""
"Starlyn Castillo","PHI","RHP",0,17,"","40",2024,"High","16.4","6' 0""","210","R","R","2018 J2 (PHI)","Dominican Republic","gJs16OYmZlc"
"Nick Rumbelow","SEA","RHP",0,11,"","40",2018,"Low","27.2","6' 0""","190","R","R","2013 Draft Rnd 7 ()","LSU","AfkzDYdWI78"
"Simon Muzziotti","PHI","CF",0,18,"&uarr;","40",2022,"Med","19.9","6' 1""","175","L","L","2015* J2 (BOS*)","Venezuela",""
"Matthew Festa","SEA","RHP",0,12,"","40",2018,"Low","25.7","6' 2""","195","R","R","2016 Draft Rnd 7 (SEA)","East Stroudsburg",""
"Cole Irvin","PHI","LHP",0,19,"&uarr;","40",2019,"Low","24.8","6' 4""","180","L","L","2016 Draft Rnd 5 (PHI)","Oregon","Fgw5VhHvMyY"
"Art Warren","SEA","RHP",0,13,"","40",2018,"Low","25.6","6' 3""","230","R","R","2015 Draft Rnd 23 (SEA)","Ashland",""
"Kevin Gowdy","PHI","RHP",0,20,"","40",2020,"High","21.0","6' 4""","170","R","R","2016 Draft Rnd 2 (PHI)","Santa Barbara HS (CA)","Vr9lun60EAw"
"Wyatt Mills","SEA","RHP",0,14,"","40",2019,"Low","23.8","6' 3""","175","R","R","2017 Draft Rnd 3 (SEA)","Gonzaga",""
"Dylan Cozens","PHI","LF",0,21,"","40",2018,"High","24.4","6' 6""","235","L","L","2012 Draft Rnd 2 (PHI)","Chaparral HS (AZ)","5CGtPSHk7sY"
"Joey Gerber","SEA","RHP",0,15,"","40",2021,"Low","21.5","6' 4""","215","R","R","2018 Draft Rnd 8 (SEA)","Illinois",""
"Tom Eshelman","PHI","RHP",0,22,"","40",2018,"Low","24.4","6' 3""","210","R","R","2015 Draft Rnd 2 (HOU)","Fullerton","D291QeiCx6U"
"Luis Liberato","SEA","CF",0,16,"","40",2020,"High","22.9","6' 1""","175","L","L","2013 J2 (SEA)","Dominican Republic",""
"Connor Seabold","PHI","RHP",0,23,"&uarr;","40",2021,"Low","22.8","6' 3""","190","R","R","2017 Draft Rnd 3 (PHI)","Fullerton",""
"Dan Vogelbach","SEA","1B",0,17,"","40",2018,"Low","25.9","6' 0""","250","L","R","2011 Draft Rnd 2 (CHC)","Bishop Verot HS (FL)","WVUvxa6mRUs"
"Colton Eastman","PHI","RHP",0,24,"","40",2022,"Med","22.2","6' 3""","185","R","R","2018 Draft Rnd 4 (PHI)","Fullerton",""
"Jake Holmes","PHI","SS",0,25,"","40",2022,"High","20.4","6' 3""","185","R","R","2017 Draft Rnd 11 (PHI)","Pinnacle HS (AZ)","IRTWnecqxDo"
"Walker Lockett","SDP","RHP",0,26,"","40",2018,"Low","24.5","6' 5""","225","R","R","2012 Draft Rnd 4 (SDP)","Providence HS (FL)",""
"Dominic Pipkin","PHI","RHP",0,26,"","40",2023,"High","19.0","6' 4""","170","R","R","2018 Draft Rnd 9 (PHI)","Pinole Valley HS (CA)","DKMEUGg70g4"
"Blake Hunt","SDP","C",0,27,"","40",2022,"High","20.0","6' 3""","185","R","R","2017 Draft Rnd 2 (SDP)","Mater Dei HS (CA)",""
"Drew Anderson","PHI","RHP",0,27,"&uarr;","40",2018,"Med","24.6","6' 3""","185","R","R","2012 Draft Rnd 21 (PHI)","Galena Prep (NV)",""
"Jordy Barley","SDP","SS",0,28,"","40",2023,"High","18.9","6' 0""","160","R","R","2016 J2 (SDP)","Dominican Republic","xHbnPwZEbjI"
"Eric Pardinho","TOR","RHP",0,16,"","40",2021,"High","17.9","5' 10""","170","R","R","2017 J2 (TOR)","Brazil",""
"Grant Little","SDP","2B",0,29,"","40",2020,"Low","21.6","6' 1""","175","R","R","2018 Draft Rnd 2 (SDP)","Texas Tech","8u-ydbS6idI"
"Sean Reid-Foley","TOR","RHP",0,17,"","40",2019,"High","23.2","6' 3""","220","R","R","2014 Draft Rnd 2 (TOR)","Sandalwood HS (FL)","iVpbxreVa9Q"
"Jorge Ona","SDP","LF",0,30,"","40",2019,"Med","21.9","6' 1""","220","R","R","2016 J2 (SDP)","Cuba","rpk7Y12Fru0"
"Thomas Pannone","TOR","LHP",0,18,"","40",2019,"Low","24.5","6' 0""","195","L","L","2013 Draft Rnd 9 (CLE)","Southern Nevada JC",""
"Eguy Rosario","SDP","2B",0,30,"&uarr;","40",2021,"Med","19.2","5' 9""","170","R","R","2015 J2 (SDP)","Dominican Republic",""
"Reese McGuire","TOR","C",0,19,"&uarr;","40",2018,"Low","23.7","6' 1""","195","L","R","2013 Draft Rnd 1 (PIT)","Kentwood HS (WA)","R-7ft9EA2ac"
"Tucupita Marcano","SDP","SS",0,31,"&uarr;","40",2022,"Med","19.2","6' 0""","165","L","R","2016 J2 (SDP)","Venezuela",""
"Orelvis Martinez","TOR","SS",0,20,"","40",2023,"High","16.6","6' 1""","190","R","R","2018 J2 (TOR)","Dominican Republic","yHLBXVb004Y"
"Austin Allen","SDP","C",0,32,"&uarr;","40",2019,"High","24.8","6' 2""","220","L","R","2015 Draft Rnd 4 (SDP)","Florida Tech",""
"Leonardo Jimenez","TOR","SS",0,21,"&uarr;","40",2023,"High","17.5","5' 11""","170","R","R","2017 J2 (TOR)","Panama",""
"Mason Thompson","SDP","RHP",0,33,"&darr;","40",2022,"High","20.7","6' 6""","190","R","R","2016 Draft Rnd 3 (SDP)","Round Rock HS (TX)","5vx6kj92i4I"
"Miguel Hiraldo","TOR","3B",0,22,"&uarr;","40",2022,"Med","18.2","5' 11""","170","R","R","2017 J2 (TOR)","Dominican Republic",""
"Michell Miliano","SDP","RHP",0,34,"&uarr;","40",2023,"High","18.9","6' 3""","180","R","R","2016 J2 (SDP)","Dominican Republic","S-hbniFCk5Y"
"Chavez Young","TOR","OF",0,23,"&uarr;","40",2020,"High","21.3","6' 0""","195","S","R","2016 Draft Rnd 39 (TOR)","Faith Baptist HS (GA)",""
"Nick Margevicius","SDP","LHP",0,35,"&uarr;","40",2019,"High","22.4","6' 5""","220","R","R","2017 Draft Rnd 7 (SDP)","Rider",""
"Rowdy Tellez","TOR","1B",0,24,"","40",2019,"High","23.7","6' 4""","220","L","L","2013 Draft Rnd 30 (TOR)","Elk Grove HS (CA)","jEnF7574CyA"
"Brad Zunica","SDP","1B",0,36,"","40",2022,"High","23.1","6' 6""","254","L","R","2015 Draft Rnd 16 (SDP)","State College JC (FL)","Jre9wi8Hbwo"
"Chad Spanberger","TOR","1B",0,25,"","40",2021,"High","23.0","6' 3""","235","L","R","2017 Draft Rnd 6 (COL)","Arkansas",""
"Robert Stock","SDP","RHP",0,37,"","40",2018,"Low","29.0","6' 1""","214","R","R","2009 Draft Rnd 2 (STL)","Southern California",""
"Yennsy Diaz","TOR","RHP",0,26,"","40",2020,"Med","22.0","6' 1""","160","R","R","2014 J2 (TOR)","Dominican Republic",""
"Andres Munoz","SDP","RHP",0,38,"","40",2020,"High","19.8","6' 2""","190","R","R","2015 J2 (SDP)","Mexico","-KTSw4drGvw"
"Samad Taylor","TOR","2B",0,27,"","40",2022,"High","20.3","5' 10""","160","R","R","2016 Draft Rnd 10 (CLE)","Corona HS (CA)",""
"Ronald Bolanos","SDP","RHP",0,39,"","40",2021,"Med","22.2","6' 3""","200","R","R","2016 J2 (SDP)","Cuba","ejuBKCIlM9I"
"Demi Orimoloye","TOR","RF",0,28,"&uarr;","40",2021,"High","21.8","6' 4""","225","R","R","2015 Draft Rnd 4 (MIL)","St. Matthew HS (CAN)",""
"Dylan Coleman","SDP","RHP",0,40,"","40",2022,"High","22.2","6' 6""","215","R","R","2018 Draft Rnd 4 (SDP)","Missouri State","jA1AHBlXsqg"
"Riley Adams","TOR","C",0,29,"","40",2021,"High","22.4","6' 4""","225","R","R","2017 Draft Rnd 3 (TOR)","San Diego","vs1YnFvXjvA"
"Mason House","SDP","RF",0,41,"","40",2023,"High","22.2","6' 3""","190","S","L","2017 Draft Rnd 3 (SDP)","Whitehouse HS (TX)",""
"Hagen Danner","TOR","C",0,30,"","40",2023,"High","20.1","6' 2""","185","R","R","2017 Draft Rnd 2 (TOR)","Huntington Beach HS (CA)","zOSvxofwJBY"
"Luis Almanzar","SDP","SS",0,42,"","40",2021,"High","19.0","6' 0""","180","R","R","2016 J2 (SDP)","Dominican Republic","JW-H57bqE2c"
"Zach Jackson","TOR","RHP",0,31,"","40",2019,"Low","22.9","6' 3""","200","R","R","2016 Draft Rnd 3 (TOR)","Arkansas",""
"Brad Wieck","SDP","LHP",0,43,"","40",2018,"Med","27.1","6' 9""","260","L","L","2014 Draft Rnd 7 (NYM)","Oklahoma City",""
"Jon Harris","TOR","RHP",0,32,"","40",2018,"Low","25.1","6' 4""","175","R","R","2015 Draft Rnd 1 (TOR)","Missouri State","hLuD_A3MpEk"
"Trey Wingenter","SDP","RHP",0,44,"","40",2018,"Med","24.6","6' 7""","230","R","R","2015 Draft Rnd 17 (SDP)","Auburn",""
"David Bednar","SDP","RHP",0,45,"","40",2019,"Med","24.1","6' 1""","220","R","R","2016 Draft Rnd 35 (SDP)","Lafayette",""
"Brendon Davis","TEX","3B",0,16,"","40",2021,"High","21.3","6' 5""","185","R","R","2015 Draft Rnd 5 (LAD)","Lakewood HS (CA)","DQ8oLyvXUbE"
"Max Schrock","STL","2B",0,11,"","40",2019,"Low","24.1","5' 8""","165","L","R","2015 Draft Rnd 13 (WSH)","South Carolina","nFXynNq4h0g"
"Diomar Lopez","SDP","RHP",0,46,"","40",2022,"Med","21.9","6' 0""","165","R","R","2013 J2 (SDP)","Nicaragua",""
"Jonathan Hernandez","TEX","RHP",0,17,"","40",2020,"High","22.3","6' 1""","175","R","R","2012 J2 (TEX)","Dominican Republic","vHUVcLLmftc"
"Randy Arozarena","STL","CF",0,12,"","40",2019,"Med","23.7","5' 11""","195","R","R","2016 J2 (STL)","Cuba",""
"Chris Seise","TEX","SS",0,18,"","40",2022,"High","19.8","6' 2""","175","R","R","2017 Draft Rnd 1 (TEX)","West Orange HS (FL)","bB9NGkEjufw"
"Evan Mendoza","STL","3B",0,13,"&uarr;","40",2020,"Med","22.4","6' 2""","200","R","R","2017 Draft Rnd 11 (STL)","North Carolina State",""
"Josh Morgan","TEX","2B",0,19,"","40",2020,"Med","23.0","5' 11""","200","R","R","2014 Draft Rnd 3 (TEX)","Orange Lutheran HS (CA)","EJkG8sOnJtQ"
"Dylan Carlson","STL","RF",0,14,"","40",2020,"Med","20.1","6' 3""","215","S","L","2016 Draft Rnd 1 (STL)","Elk Grove HS (CA)",""
"Michael Matuella","TEX","RHP",0,20,"&darr;","40",2019,"Med","24.4","6' 6""","220","R","R","2015 Draft Rnd 3 (TEX)","Duke","KSBpY0Vwoy8"
"Elehuris Montero","STL","3B",0,15,"&uarr;","40",2021,"Med","20.2","6' 3""","195","R","R","2015 J2 (STL)","Dominican Republic",""
"Brett Martin","TEX","LHP",0,21,"","40",2019,"Med","23.5","6' 4""","190","L","L","2014 Draft Rnd 4 (TEX)","Walters State JC (TN)","4ILlmvUzq_s"
"Conner Capel","STL","CF",0,16,"","40",2021,"High","21.5","6' 1""","185","L","L","2016 Draft Rnd 5 (CLE)","Seven Lakes HS (TX)","mWkRt0PHN0w"
"Tyler Phillips","TEX","RHP",0,22,"&uarr;","40",2021,"High","21.0","6' 5""","200","R","R","2015 Draft Rnd 16 (TEX)","Bishop Eustace HS (NJ)",""
"Jhon Torres","STL","RF",0,17,"&uarr;","40",2023,"High","18.6","6' 4""","200","R","R","2016 J2 (CLE)","Colombia","3I-QOd9oNcA"
"Keithron Moss","TEX","SS",0,23,"&uarr;","40",2023,"High","17.2","5' 11""","165","S","R","2017 J2 (TEX)","Bahamas",""
"Junior Fernandez","STL","RHP",0,18,"","40",2019,"High","21.7","6' 1""","180","R","R","2014 J2 (STL)","Dominican Republlic",""
"Yerry Rodriguez","TEX","RHP",0,24,"&uarr;","40",2022,"High","21.1","6' 2""","180","R","R","2015 J2 (TEX)","Dominican Republic",""
"Griffin Roberts","STL","RHP",0,19,"","40",2019,"Med","22.4","6' 3""","215","R","R","2018 Draft Rnd 1 (STL)","Wake Forest",""
"Kyle Cody","TEX","RHP",0,25,"&darr;","40",2020,"High","24.3","6' 7""","245","R","R","2016 Draft Rnd 6 (TEX)","Kentucky",""
"Seth Elledge","STL","RHP",0,20,"&uarr;","40",2019,"Low","22.5","6' 3""","230","R","R","2017 Draft Rnd 4 (SEA)","Dallas Baptist",""
"Jose Trevino","TEX","C",0,26,"","40",2018,"Low","26.0","5' 10""","195","R","R","2014 Draft Rnd 6 (TEX)","Oral Roberts",""
"Juan Yepez","STL","1B",0,21,"&uarr;","40",2021,"Med","20.7","6' 1""","200","R","R","2014 J2 (ATL)","Venezuela",""
"Matt Whatley","TEX","C",0,27,"","40",2021,"Med","22.8","5' 10""","200","R","R","2017 Draft Rnd 3 (TEX)","Oral Roberts","a_dkqhQUrqo"
"Stephen Gingery","STL","LHP",0,22,"","40",2020,"High","21.1","6' 2""","220","R","L","2018 Draft Rnd 4 (STL)","Texas Tech",""
"Connor Sadzeck","TEX","RHP",0,28,"","40",2018,"Low","27.1","6' 5""","240","R","R","2011 Draft Rnd 11 (TEX)","Howard JC (TX)",""
"Nick Dunn","STL","2B",0,23,"","40",2020,"Low","21.8","5' 10""","175","L","R","2018 Draft Rnd 5 (STL)","Maryland",""
"Jean Casanova","TEX","RHP",0,29,"","40",2021,"Med","21.7","6' 3""","155","R","R","2016 Draft Rnd 35 (TEX)","Waukegan HS (IL)","CQ94KnqUGTY"
"Delvin Perez","STL","SS",0,24,"","40",2021,"High","20.0","6' 3""","170","R","R","2016 Draft Rnd 1 (STL)","Int'l Baseball Academy HS (PR)","zoyhWdJpeQU"
"A.J. Alexy","TEX","RHP",0,30,"","40",2022,"High","20.6","6' 4""","195","R","R","2016 Draft Rnd 11 (LAD)","Twin Valley HS (PA)","N5cPI1HSCZM"
"Giovanny Gallegos","STL","RHP",0,25,"","40",2019,"Low","27.2","6' 2""","210","R","R","2010 J2 (NYY)","Mexico",""
"Miguel Aparicio","TEX","CF",0,31,"","40",2021,"Med","19.7","6' 0""","165","L","L","2015 J2 (TEX)","Venezuela","3GM5aizrKXc"
"Genesis Cabrera","STL","LHP",0,26,"","40",2019,"Med","22.1","6' 1""","170","L","L","2013 J2 (TBR)","Dominican Republic","sKhWIR1ZYYA"
"C.D. Pelham","TEX","LHP",0,32,"&uarr;","40",2019,"High","23.7","6' 6""","235","L","L","2015 Draft Rnd 33 (TEX)","Spartanburg Methodist",""
"Derian Gonzalez","STL","RHP",0,27,"","40",2019,"Med","23.8","6' 3""","190","R","R","2012 J2 (STL)","Venezuela",""
"Demarcus Evans","TEX","RHP",0,33,"&uarr;","40",2020,"High","22.1","6' 4""","240","R","R","2015 Draft Rnd 25 (TEX)","Petal HS (MS)",""
"Connor Jones","STL","RHP",0,28,"","40",2019,"Med","24.1","6' 3""","215","R","R","2016 Draft Rnd 2 (STL)","Virginia",""
"Wei-Chieh Huang","TEX","RHP",0,34,"","40",2019,"Low","25.1","6' 1""","170","R","R","2014 J2 (ARI)","Taiwan",""
"Daniel Poncedeleon","STL","RHP",0,29,"&uarr;","40",2018,"Med","26.8","6' 4""","185","R","R","2014 Draft Rnd 9 (STL)","Embry-Riddle Univ",""
"Alex Speas","TEX","RHP",0,35,"&darr;","40",2022,"High","20.7","6' 4""","180","R","R","2016 Draft Rnd 2 (TEX)","McEachern HS (GA)","ja_dnjJCRDU"
"Ryan Cordell","CHW","RF",0,17,"","40",2018,"Med","26.6","6' 4""","194","R","R","2013 Draft Rnd 11 (TEX)","Liberty",""
"Cristian Santana","LAD","3B",0,17,"","40",2021,"High","21.7","6' 2""","175","R","R","2016 J2 (LAD)","Dominican Republic","KKe4Gt1QGRE"
"Gavin Sheets","CHW","1B",0,18,"","40",2020,"High","22.6","6' 4""","230","L","L","2017 Draft Rnd 2 (CHW)","Wake Forest",""
"Matt Beaty","LAD","3B",0,18,"","40",2019,"Low","25.5","6' 0""","210","L","R","2015 Draft Rnd 12 (LAD)","Belmont",""
"Seby Zavala","CHW","C",0,19,"","40",2019,"Med","25.2","6' 0""","215","R","R","2015 Draft Rnd 12 (CHW)","San Diego State",""
"Tim Locastro","LAD","LF",0,19,"&uarr;","40",2018,"Low","26.3","6' 1""","200","R","R","2013 Draft Rnd 13 (LAD)","Ithaca",""
"Tyler Johnson","CHW","RHP",0,20,"&uarr;","40",2020,"Med","23.2","6' 3""","205","R","R","2017 Draft Rnd 5 (CHW)","South Carolina",""
"Connor Joe","LAD","3B",0,20,"&uarr;","40",2019,"Med","26.2","6' 0""","205","R","R","2014 Draft Rnd 1 (PIT)","San Diego",""
"A.J. Puckett","CHW","RHP",0,21,"","40",2020,"Med","23.5","6' 4""","200","R","R","2016 Draft Rnd 2 (KCR)","Pepperdine",""
"Drew Jackson","LAD","SS",0,21,"","40",2019,"Low","25.3","6' 2""","200","R","R","2015 Draft Rnd 5 (SEA)","Stanford",""
"Kodi Medeiros","CHW","LHP",0,22,"","40",2019,"High","22.5","6' 2""","180","L","L","2014 Draft Rnd 1 (MIL)","Waiakea HS (HI)","hGafdvhuFRw"
"Robinson Ortiz","LAD","LHP",0,22,"","40",2023,"Med","18.9","6' 0""","180","L","L","2016 J2 (LAD)","Dominican Republic","LVLtXxDsi9A"
