Name,Tm,Pos,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,Bats,Thr,Signed,Signed From,Video
"Grant Holmes","OAK","RHP",0,13,"","45",2019,"High","22.6","6' 1""","215","R","R","2014 Draft Rnd 1 (LAD)","Conway HS (SC)","MvTNMZd4LDA"
"Deivi Garcia","NYY","RHP",0,10,"&uarr;","40+",2021,"High","19.5","5' 10""","163","R","R","2015 J2 (NYY)","Dominican Republic","TtDspHp7TRI"
"Roansy Contreras","NYY","RHP",0,11,"","40+",2022,"High","19.0","6' 0""","175","R","R","2016 J2 (NYY)","Dominican Republic",""
"Gilberto Celestino","MIN","CF",0,14,"","40+",2021,"Med","19.7","6' 0""","170","R","L","2015 J2 (HOU)","Dominican Republic","QyYaz8gJrxc"
"Everson Pereira","NYY","CF",0,12,"&uarr;","40+",2023,"High","17.6","6' 0""","190","R","R","2017 J2 (NYY)","Venezuela",""
"Jhoan Duran","MIN","RHP",0,15,"","40+",2022,"High","20.8","6' 5""","175","R","R","2014 J2 (ARI)","Dominican Republic",""
"Ezequiel Duran","NYY","2B",0,13,"","40+",2022,"High","19.5","5' 11""","185","R","R","2016 J2 (NYY)","Dominican Republic",""
"Kevin Alcantara","NYY","CF",0,14,"","40+",2024,"High","16.3","6' 5""","175","R","R","2018 J2 (NYY)","Dominican Republic",""
"Osiel Rodriguez","NYY","RHP",0,15,"","40+",2022,"High","17.0","6' 3""","205","R","R","2018 J2 (NYY)","Cuba","_Jj3rLa-Lm4"
"Freicer Perez","NYY","RHP",0,16,"&darr;","40+",2021,"High","22.7","6' 8""","190","R","R","2015 J2 (NYY)","Dominican Republic",""
"Calvin Mitchell","PIT","LF",0,11,"&uarr;","40+",2021,"High","19.7","6' 0""","190","L","L","2017 Draft Rnd 2 (PIT)","Rancho Bernardo HS (CA)","yal8ZxNmuHI"
"Nick Decker","BOS","RF",0,8,"","40+",2023,"Med","19.1","6' 0""","200","L","L","2018 Draft Rnd 2 (BOS)","Seneca HS (NJ)","JfxRX_cb-VE"
"Junior Sanquintin","CLE","SS",0,14,"","40+",2023,"Med","16.8","6' 0""","180","S","R","2018 J2 (CLE)","Dominican","I0cN4L2seo0"
"Gabriel Rodriguez","CLE","SS",0,15,"","40+",2023,"Med","16.7","6' 2""","175","R","R","2018 J2 (CLE)","Venezuela","JQBYAlGbKIw"
"Jean Carlos Encarnacion","BAL","3B",0,9,"&uarr;","40+",2021,"High","20.8","6' 3""","195","R","R","2015 J2 (ATL)","Dominican Republic",""
"Zac Lowther","BAL","LHP",0,10,"","40+",2019,"High","22.5","6' 2""","235","L","L","2017 Draft Rnd 2 (BAL)","Xavier","wVeEOHsnDns"
"Dillon Tate","BAL","RHP",0,11,"&darr;","40+",2019,"High","24.5","6' 2""","210","R","R","2015 Draft Rnd 1 (TEX)","UC Santa Barbara","fRtkNQHSqXE"
"Blaine Knight","BAL","RHP",0,12,"","40+",2021,"Med","22.4","6' 3""","170","R","R","2018 Draft Rnd 3 (BAL)","Arkansas",""
"Ryan McKenna","BAL","CF",0,13,"&uarr;","40+",2020,"Med","21.7","5' 11""","185","R","R","2015 Draft Rnd 4 (BAL)","St. Thomas Aquinas HS (NH)",""
"Sean Hjelle","SFG","RHP",0,7,"","40+",2021,"Med","21.5","6' 11""","215","R","R","2018 Draft Rnd 2 (SFG)","Kentucky","NMCpRfnBHDI"
"Gregory Santos","SFG","RHP",0,8,"&uarr;","40+",2021,"High","19.2","6' 2""","190","R","R","2015 J2 (BOS)","Dominican Republic",""
"Garrett Williams","SFG","LHP",0,9,"&darr;","40+",2019,"High","24.2","6' 1""","200","L","L","2016 Draft Rnd 7 (SFG)","Oklahoma State",""
"Kyle Isbel","KCR","RF",0,9,"","40+",2021,"Med","21.7","5' 11""","190","L","R","2018 Draft Rnd 2 (KCR)","UNLV","ED60S6KU3Bw"
"Kris Bubic","KCR","LHP",0,10,"","40+",2021,"Med","21.2","6' 3""","220","L","L","2018 Draft Rnd 1 (KCR)","Stanford","1rpGvmAv8vM"
"Seth Romero","WSN","LHP",0,7,"&darr;","40+",2019,"High","22.6","6' 3""","240","L","L","2017 Draft Rnd 1 (WAS)","Houston",""
"Drew Ellis","ARI","3B",0,7,"","40+",2021,"Med","22.9","6' 3""","220","R","R","2017 Draft Rnd 2 (ARI)","Louisville",""
"Jake McCarthy","ARI","CF",0,8,"","40+",2021,"High","21.3","6' 2""","195","L","L","2018 Draft Rnd 1 (ARI)","Virginia",""
"Anthony Kay","NYM","LHP",0,10,"&uarr;","40+",2021,"High","23.6","6' 0""","218","L","L","2016 Draft Rnd 1 (NYM)","UConn",""
"Thomas Szapucki","NYM","LHP",0,11,"","40+",2021,"High","22.4","6' 2""","190","R","L","2015 Draft Rnd 5 (NYM)","Dwyer HS (FL)","aaIRseQiZNU"
"Francisco Alvarez","NYM","C",0,12,"","40+",2023,"Med","16.6","5' 11""","220","R","R","2018 J2 (NYM)","Venezuela","TG-p0lUDzpM"
"Colin Poche","TBR","LHP",0,22,"&uarr;","40+",2019,"Med","24.8","6' 3""","185","L","L","2016 Draft Rnd 14 (ARI)","Dallas Baptist",""
"Tanner Dodson","TBR","RHP",0,23,"","40+",2021,"Med","21.5","6' 1""","170","S","R","2018 Draft Rnd 2 (TBR)","Cal","a723taF8Ipw"
"Trent Deveaux","LAA","CF",0,12,"","40+",2023,"High","18.5","6' 2""","160","R","R","2017 J2 (LAA)","Bahamas","BIjXX56-6bw"
"Kevin Maitan","LAA","3B",0,13,"&darr;","40+",2022,"High","18.7","6' 2""","190","S","R","2016 J2 (ATL)","Venezuela","0cx8ztyNO2A"
"Arquimedes Gamboa","PHI","SS",0,10,"","40+",2021,"High","21.1","6' 0""","175","S","R","2014 J2 (PHI)","Venezuela","XMoiQQu_Els"
"Luis Garcia","PHI","SS",0,11,"","40+",2023,"High","18.1","5' 11""","170","S","R","2017 J2 (PHI)","Dominican Republic",""
"Noelvi Marte","SEA","SS",0,5,"","40+",2023,"Med","16.7","6' 1""","180","R","R","2018 J2 (SEA)","Dominican","24XWJlBKDh0"
"Francisco Morales","PHI","RHP",0,12,"","40+",2022,"High","19.0","6' 4""","185","R","R","2016 J2 (PHI)","Venezuela",""
"Sam Carlson","SEA","RHP",0,6,"&darr;","40+",2022,"High","19.9","6' 4""","195","R","R","2017 Draft Rnd 2 (SEA)","Burnsville HS (MN)","PK5O-3F8YyM"
"Ranger Suarez","PHI","LHP",0,13,"&uarr;","40+",2019,"Med","23.2","6' 1""","180","L","L","2011 J2 (PHI)","Venezuela",""
"Mickey Moniak","PHI","CF",0,14,"&darr;","40+",2021,"Med","20.5","6' 2""","185","L","R","2016 Draft Rnd 1 (PHI)","La Costa Canyon HS (CA)","Q8Q3oaLa-Ds"
"Mauricio Llovera","PHI","RHP",0,15,"&uarr;","40+",2020,"Med","22.6","5' 11""","200","R","R","2014 J2 (PHI)","Venezuela","pja-ry-k0TQ"
"Pedro Avila","SDP","RHP",0,22,"&darr;","40+",2021,"Med","21.8","5' 11""","190","R","R","2014 J2 (WAS)","Venezuela",""
"Luis Campusano","SDP","C",0,23,"&uarr;","40+",2022,"High","20.1","6' 0""","195","R","R","2017 Draft Rnd 1 (SDP)","Cross Creek HS (GA)",""
"Jacob Nix","SDP","RHP",0,24,"&darr;","40+",2019,"High","22.8","6' 4""","220","R","R","2015 Draft Rnd 3 (SDP)","IMG Academy HS (FL)","LM9yJp5lRaI"
"Buddy Reed","SDP","CF",0,25,"&uarr;","40+",2019,"High","23.5","6' 4""","210","S","R","2016 Draft Rnd 2 (SDP)","Florida","SKkOwJl5w0s"
"Billy McKinney","TOR","LF",0,13,"","40+",2018,"Low","24.2","6' 1""","215","L","L","2013 Draft Rnd 1 (NYY)","Plano West HS (TX)","0qE5bDYlRrc"
"Cavan Biggio","TOR","2B",0,14,"&uarr;","40+",2019,"Med","23.6","6' 1""","205","L","R","2016 Draft Rnd 5 (TOR)","Notre Dame",""
"Griffin Conine","TOR","RF",0,15,"","40+",2020,"High","21.3","6' 1""","195","L","R","2018 Draft Rnd 2 (TOR)","Duke","QeXzF5QTR2U"
"Anderson Tejeda","TEX","SS",0,10,"&uarr;","40+",2021,"High","20.5","5' 11""","160","L","R","2014 J2 (TEX)","Dominican Republic","TdHxjNuX4iQ"
"Jonathan Ornelas","TEX","SS",0,11,"","40+",2022,"Med","18.5","6' 0""","170","R","R","2018 Draft Rnd 3 (TEX)","Kellis HS (AZ)",""
"Joe Palumbo","TEX","LHP",0,12,"&uarr;","40+",2019,"High","24.0","6' 1""","168","L","L","2014 Draft Rnd 30 (TEX)","St. John The Baptist HS (NY)",""
"Sherten Apostel","TEX","3B",0,13,"","40+",2022,"High","19.7","6' 4""","213","R","R","2015 J2 (PIT)","Curacao",""
"Owen White","TEX","RHP",0,14,"","40+",2022,"High","19.3","6' 3""","175","R","R","2018 Draft Rnd 2 (TEX)","Carson HS (NC)","ECsEAbzzCsw"
"Yohander Mendez","TEX","LHP",0,15,"&darr;","40+",2018,"High","23.8","6' 5""","200","L","L","2011 J2 (TEX)","Venezuela","ftXWbnqqZ5o"
"Wadye Ynfante","STL","CF",0,10,"&uarr;","40+",2021,"High","21.2","6' 0""","160","R","R","2013 J2 (STL)","Dominican Republic",""
"Edwin Rios","LAD","1B",0,12,"","40+",2019,"High","24.6","6' 3""","220","L","R","2015 Draft Rnd 6 (LAD)","Florida International",""
"Starling Heredia","LAD","CF",0,13,"&darr;","40+",2022,"High","19.8","6' 2""","200","R","R","2015 J2 (LAD)","Dominican Republic","pNLxwMrBLr4"
"Luis Gonzalez","CHW","RF",0,14,"&uarr;","40+",2020,"Med","23.2","6' 1""","185","L","L","2017 Draft Rnd 3 (CHW)","New Mexico",""
"Diego Cartaya","LAD","C",0,14,"","40+",2023,"High","16.8","6' 2""","200","R","R","2018 J2 (LAD)","Venezuela","c-LTwTIlv7s"
"Konnor Pilkington","CHW","LHP",0,15,"","40+",2021,"High","21.2","6' 3""","228","L","L","2018 Draft Rnd 3 (CHW)","Mississippi State","P5eoXZT5Ox4"
"Connor Wong","LAD","C",0,15,"","40+",2020,"High","22.5","6' 1""","180","R","R","2017 Draft Rnd 3 (LAD)","Houston",""
"Steele Walker","CHW","LF",0,16,"","40+",2022,"Med","22.3","5' 11""","190","L","L","2018 Draft Rnd 2 (CHW)","Oklahoma",""
"Tony Gonsolin","LAD","RHP",0,16,"&uarr;","40+",2019,"Low","24.5","6' 2""","180","R","R","2016 Draft Rnd 9 (LAD)","St. Mary's",""
"Garrett Stubbs","HOU","C",0,8,"&uarr;","40+",2019,"Med","25.5","5' 10""","185","L","R","2015 Draft Rnd 8 (HOU)","USC",""
"Richard Gallardo","CHC","RHP",0,10,"","40+",2023,"High","17.2","6' 1""","187","R","R","2018 J2 (CHC)","Venezuela","j7EwIoPixuw"
"Jonathan Arauz","HOU","SS",0,9,"&uarr;","40+",2021,"High","20.3","6' 0""","150","S","R","2014 J2 (PHI)","Panama",""
"Rogelio Armenteros","HOU","RHP",0,10,"","40+",2018,"Low","24.4","6' 1""","215","R","R","2014 J2 (HOU)","Cuba",""
"Abraham Toro-Hernandez","HOU","3B",0,11,"&uarr;","40+",2021,"Med","21.9","6' 1""","190","S","R","2016 Draft Rnd 5 (HOU)","Seminole State JC (OK)",""
"Jairo Solis","HOU","RHP",0,12,"","40+",2022,"High","18.9","6' 2""","160","R","R","2016 J2 (HOU)","Venezuela",""
"Tyler Ivey","HOU","RHP",0,13,"&uarr;","40+",2020,"High","22.5","6' 4""","195","R","R","2017 Draft Rnd 3 (HOU)","Grayson County JC (TX)",""
"Joshua James","HOU","RHP",0,14,"","40+",2018,"High","25.7","6' 3""","205","R","R","2014 Draft Rnd 34 (HOU)","Western Oklahoma JC",""
"Ryan Castellani","COL","RHP",0,11,"&darr;","40+",2020,"High","22.6","6' 4""","193","R","R","2014 Draft Rnd 2 (COL)","Brophy Prep (AZ)",""
